customer_unique_id,first_order_id,first_order_date,delivery_delay_days,is_late_delivery,shipping_delay_days,is_late_shipping,total_price,freight_ratio,category_count,item_count,main_category,has_consumable_item,primary_payment_type,max_installments,used_voucher_flag,voucher_ratio,min_review_score,is_reordered_90d
4079d39cb3fdea47201540107c1673dc,8d9a9808c4a5546adb15d524d6ab2e91,2017-01-26,-3,0,18,1,3.9,2.81,0,1,,0,credit_card,1,0,0.0,1,0
defbae0ddd4aeca563944124fbcc4bae,7c2ee08449e6b8b55158e518778dbe83,2017-06-12,-16,0,-9,0,4.78,1.7,0,1,,0,voucher,1,1,1.0,5,0
6f0b3c0824512f9e29805095537bd68d,d5059794ce5ef544e6c29ad80d4785d4,2017-09-14,-11,0,-2,0,4.85,3.11,0,1,,0,credit_card,1,0,0.0,4,0
b4e199c32b71699c2e2f9fbfe427e355,261d62f3e26bd7761b0421b16e91653a,2017-10-08,-20,0,-3,0,5.2,2.9,0,1,,0,credit_card,1,0,0.0,4,0
d10f23d669c51e0d983ba80de4d327e8,3418c754c6d0c412d57cca00b6ccfbe2,2017-11-08,-7,0,-1,0,7.5,1.58,0,1,,0,voucher,1,1,0.91,5,0
d4c784ecad19dfe09e63ffaf9ada82a3,00482f2670787292280e0a8153d82467,2017-02-13,-23,0,-3,0,7.6,1.44,0,1,,0,boleto,1,0,0.0,5,0
b0efd7adeb04d15b16edaedd11215d40,0046e1d57f4c07c8c92ab26be8c3dfc0,2017-09-26,-12,0,-3,0,7.79,1.0,0,1,,0,credit_card,1,0,0.0,5,0
71328a8d994a325d7bb2c0c4a4d3cdac,db4982d0129b4b2ac1eb511ab4743799,2018-05-11,-6,0,0,0,8.99,0.82,0,1,,0,credit_card,1,0,0.0,4,0
b51e63fc658504e0793c9ea3b1f950bd,b48a5fd9da47758b7a3d89365b50f811,2017-07-27,-10,0,0,0,9.0,1.87,0,1,,0,credit_card,1,0,0.0,4,0
bb3d1731d90afd510cb744f4d2af3c0e,64099350b7cbd1d6a7ac7786b990cb8b,2017-11-17,0,0,4,1,10.5,0.77,0,1,,0,credit_card,1,0,0.0,5,0
c59ed2b0fc8e3b50e0928797c12b895e,115eb911c253a806eb6e49cc6fceabe9,2017-02-16,-25,0,-3,0,11.63,1.21,0,1,,0,credit_card,2,0,0.0,5,0
