customer_unique_id,customer_city,customer_state,order_id,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,product_id,product_category_name,price,freight_value,seller_id,payment_type,payment_installments,payment_value,review_score,review_creation_date,review_answer_timestamp,order_seq
0000366f3b9a7992bf8c76cfdf3221e2,cajamar,SP,e22acc9c116caa3f2b7121bbb380d08e,2018-05-10 10:56:27+00:00,2018-05-10 11:11:18 UTC,2018-05-12 08:18:00 UTC,2018-05-16 20:48:37+00:00,2018-05-21 00:00:00+00:00,372645c7439f9661fbbacfd129aa92ec,bed_bath_table,129.9,12,da8622b14eb17ae2831f4ac5b9dab84a,credit_card,8,141.9,5,2018-05-17 00:00:00 UTC,2018-05-21 13:44:48 UTC,1
0000b849f77a49e4a4ce2b2a4ca5be3f,osasco,SP,3594e05a005ac4d06a72673270ef9ec9,2018-05-07 11:11:27+00:00,2018-05-07 18:25:44 UTC,2018-05-09 12:18:00 UTC,2018-05-10 18:02:42+00:00,2018-05-15 00:00:00+00:00,5099f7000472b634fea8304448d20825,health_beauty,18.9,8.29,138dbe45fc62f1e244378131a6801526,credit_card,1,27.19,4,2018-05-11 00:00:00 UTC,2018-05-11 22:29:25 UTC,1
0000f46a3911fa3c0805444483337064,sao jose,SC,b33ec3b699337181488304f362a6b734,2017-03-10 21:05:03+00:00,2017-03-10 21:05:03 UTC,2017-03-13 12:58:30 UTC,2017-04-05 14:38:47+00:00,2017-04-07 00:00:00+00:00,64b488de448a5324c4134ea39c28a34b,stationery,69,17.22,3d871de0142ce09b7081e2b9d1733cb1,credit_card,8,86.22,3,2017-04-06 00:00:00 UTC,2017-04-07 01:19:44 UTC,1
0000f6ccb0745a6a4b88665a16c9f078,belem,PA,41272756ecddd9a9ed0180413cc22fb6,2017-10-12 20:29:41+00:00,2017-10-12 20:49:17 UTC,2017-10-13 20:08:19 UTC,2017-11-01 21:23:05+00:00,2017-11-13 00:00:00+00:00,2345a354a6f2033609bbf62bf5be9ef6,telephony,25.99,17.63,ef506c96320abeedfb894c34db06f478,credit_card,4,43.62,4,2017-11-02 00:00:00 UTC,2017-11-03 00:17:51 UTC,1
0004aac84e0df4da2b147fca70cf8255,sorocaba,SP,d957021f1127559cd947b62533f484f7,2017-11-14 19:45:42+00:00,2017-11-14 20:06:52 UTC,2017-11-16 19:52:10 UTC,2017-11-27 23:08:56+00:00,2017-12-05 00:00:00+00:00,c72e18b3fe2739b8d24ebf3102450f37,telephony,180,16.89,70a12e78e608ac31179aea7f8422044b,credit_card,6,196.89,5,2017-11-28 00:00:00 UTC,2017-12-02 22:29:35 UTC,1
0004bd2a26a76fe21f786e4fbd80607f,sao paulo,SP,3e470077b690ea3e3d501cffb5e0c499,2018-04-05 19:33:16+00:00,2018-04-05 19:48:59 UTC,2018-04-07 00:38:52 UTC,2018-04-07 16:12:43+00:00,2018-04-19 00:00:00+00:00,25cf184645f3fae66083bf33581b8f13,garden_tools,154,12.98,ff063b022a9a0aab91bad2c9088760b7,credit_card,8,166.98,4,2018-04-08 00:00:00 UTC,2018-04-10 20:13:32 UTC,1
00050ab1314c0e55a6ca13cf7181fecf,campinas,SP,d0028facea13f508e880202d7097a5a1,2018-04-20 12:57:23+00:00,2018-04-25 03:51:13 UTC,2018-04-25 15:25:00 UTC,2018-04-27 12:08:59+00:00,2018-05-09 00:00:00+00:00,8cefe1c6f2304e7e6825150218ffc58c,telephony,27.99,7.39,ea8482cd71df3c1969d7b9473ff13abc,boleto,1,35.38,4,2018-04-28 00:00:00 UTC,2018-05-01 20:41:51 UTC,1
00053a61a98854899e70ed204dd4bafe,curitiba,PR,44e608f2db00c74a1fe329de44416a4e,2018-02-28 11:15:41+00:00,2018-02-28 11:32:42 UTC,2018-03-01 20:09:30 UTC,2018-03-16 19:02:51+00:00,2018-03-26 00:00:00+00:00,58727e154e8e85d84052cd22b0136c84,sports_leisure,191,18.59,218d46b86c1881d022bce9c68a7d4b15,credit_card,3,419.18,1,2018-03-17 00:00:00 UTC,2018-03-17 23:22:53 UTC,1
00053a61a98854899e70ed204dd4bafe,curitiba,PR,44e608f2db00c74a1fe329de44416a4e,2018-02-28 11:15:41+00:00,2018-02-28 11:32:42 UTC,2018-03-01 20:09:30 UTC,2018-03-16 19:02:51+00:00,2018-03-26 00:00:00+00:00,62984ea1bba7fcea1f5b57084d3bf885,sports_leisure,191,18.59,218d46b86c1881d022bce9c68a7d4b15,credit_card,3,419.18,1,2018-03-17 00:00:00 UTC,2018-03-17 23:22:53 UTC,1
0005e1862207bf6ccc02e4228effd9a0,teresopolis,RJ,ae76bef74b97bcb0b3e355e60d9a6f9c,2017-03-04 23:32:12+00:00,2017-03-04 23:43:26 UTC,2017-03-06 05:14:07 UTC,2017-03-09 08:33:08+00:00,2017-04-06 00:00:00+00:00,e24f73b7631ee3fbb2ab700a9acaa258,fashion_bags_accessories,135,15.12,0cbcee27c791afa0cdcb08587a2013a8,credit_card,3,150.12,4,2017-03-10 00:00:00 UTC,2017-03-16 03:45:59 UTC,1
