session_id,event_name,event_time,event_id,traffic_source,product_id,quantity,item_price,payment_status,search_keywords,promo_code,promo_amount
7b4fba3c-baec-4f24-ab8e-c461d95fb56f,ADD_PROMO,2022-03-21 09:16:00.641096 UTC,0e33a593-3cbc-4e8c-bd8a-e59169699d53,MOBILE,,,,,,AZ2022,4960.0
5b4b5a89-cbde-433c-b901-899221681313,ADD_PROMO,2018-08-28 06:53:09.746116 UTC,15c22086-9926-4dc7-95b6-ec85c1591487,MOBILE,,,,,,AZ2022,10960.0
4b687e3e-7b22-47c0-a8e0-77c64c58b802,ADD_PROMO,2020-01-24 16:52:51.971588 UTC,3d4a6c70-c004-465c-b141-5ece04550dba,MOBILE,,,,,,LIBURDONG,7887.0
f6cbbf56-3d6f-41c6-8e37-0540bcd511ab,ADD_PROMO,2019-07-09 18:04:54.659825 UTC,2ca87ce2-a2cd-4f3c-a66d-2627c55b8fdd,MOBILE,,,,,,XX2022,5336.0
a26fb608-a97c-4219-adb1-532db1655458,ADD_PROMO,2019-03-17 23:24:40.802296 UTC,2ff03bb5-b869-4df8-a219-22dc94fa5fc8,MOBILE,,,,,,AZ2022,6600.0
98c1ce08-ce66-4fe5-a8d4-07f7632e652b,ADD_PROMO,2021-07-25 02:37:46.844032 UTC,9ba69032-1eaf-4056-90fc-7a36763e354c,MOBILE,,,,,,AZ2022,4314.0
ceb97679-3a03-43e4-9b9e-f96fc6b98383,ADD_PROMO,2019-09-11 02:55:43.870382 UTC,98198d2d-7725-4e8c-b795-0e641dc1bce6,MOBILE,,,,,,STARTUP,10346.0
307e5585-4e47-477c-8b65-8ccb7066ae84,ADD_PROMO,2019-02-11 14:20:20.157644 UTC,9c6c918e-00a9-492b-a944-c94e6caed220,MOBILE,,,,,,STARTUP,5378.0
e25170c5-6759-43bf-9d15-3194ec471be3,ADD_PROMO,2022-06-01 15:22:01.472589 UTC,303b3147-a000-40b8-a967-ccc0ac21caf0,MOBILE,,,,,,BUYMORE,2473.0
ea07775b-68a0-4913-af05-1ea914e608d3,ADD_PROMO,2019-05-26 16:56:27.154487 UTC,13e77e8f-2b82-4f06-9e82-f31baafbe703,MOBILE,,,,,,WEEKENDSERU,5587.0
47b7347e-8ee4-4cb4-84c0-e634ec4ff352,ADD_PROMO,2018-12-28 20:50:35.242225 UTC,326f36f5-aa54-48e9-88a2-d90948556574,MOBILE,,,,,,WEEKENDSERU,8362.0
5f58f90f-7088-4683-be98-f2cbf5701956,ADD_PROMO,2019-03-12 01:20:06.306015 UTC,5f469949-47b0-4dbe-9e7d-deafeae51146,MOBILE,,,,,,AZ2022,4544.0
7586ead9-364b-40cb-a78c-d9a4e9898448,ADD_PROMO,2019-12-27 09:16:03.809608 UTC,11b3191b-dbb4-4ef6-bb8c-389e291fe9b9,MOBILE,,,,,,SC2022,8603.0
1dbce8b6-20eb-4241-b6e0-8b3845602bc9,ADD_PROMO,2021-02-05 02:22:16.095453 UTC,374fdc7b-b219-4858-87b3-6de37d1400fe,MOBILE,,,,,,WEEKENDSERU,3374.0
7f47d755-2ef2-401a-afe5-79c2a75accd7,ADD_PROMO,2021-08-29 01:43:18.279542 UTC,cc850057-fd5a-45ae-a16d-178836a835cd,MOBILE,,,,,,WEEKENDSERU,4553.0
36c4c9ec-65d7-4d70-8712-3be708e44d0b,ADD_PROMO,2022-03-14 03:49:44.233873 UTC,a414a34d-ed7a-401a-8598-3a0260e5fe8c,MOBILE,,,,,,WEEKENDSERU,1934.0
2f89e535-4107-4a44-b1e7-deb0724d744f,ADD_PROMO,2020-04-07 08:49:12.272555 UTC,935abb7c-19bb-4937-8860-ba70b80d475a,MOBILE,,,,,,AZ2022,2432.0
8c0cf7c9-57bf-43dd-a8ee-62a15e685ef3,ADD_PROMO,2021-04-04 07:00:59.832192 UTC,269de3d6-e8ef-4e36-8e6e-183719edeed1,MOBILE,,,,,,AZ2022,2712.0
82bb560b-f69c-4a05-9160-e1f225f3c8cd,ADD_PROMO,2021-02-26 10:51:55.592037 UTC,96a05332-c46d-4839-998c-c311838ca6ef,MOBILE,,,,,,AZ2022,4497.0
c24ba570-8925-4df4-8827-90fa3c7d764b,ADD_PROMO,2022-04-15 05:58:24.198367 UTC,816d2bcc-0703-4563-af74-a1abf9f0ae69,MOBILE,,,,,,BUYMORE,3164.0
ca3d2cba-d320-4b4c-bf16-9f3be21d1f76,ADD_PROMO,2022-06-23 16:02:06.857942 UTC,0d385d0a-c1cc-49ee-a3d3-f2f1a70309f7,MOBILE,,,,,,AZ2022,5006.0
84d8dbce-6087-42da-81aa-1da68ff319a2,ADD_PROMO,2020-05-23 19:16:41.656391 UTC,eb93c224-dc2b-450d-ba07-de2ba57b3fbf,MOBILE,,,,,,BUYMORE,6416.0
4251cb5f-8514-4832-b384-b9f9df1b49a7,ADD_PROMO,2021-02-14 09:56:49.056969 UTC,eaec2bbb-4b34-416b-97c3-63d434445898,MOBILE,,,,,,LIBURDONG,3336.0
2ffdc1cf-af29-4c11-9b0f-a80501072c66,ADD_PROMO,2018-11-10 04:20:34.966966 UTC,1ea54f4c-cfaf-450a-9af1-6fc0444f311c,MOBILE,,,,,,XX2022,2107.0
3bef5b1c-2760-40cc-9f85-82c918c21783,ADD_PROMO,2019-06-03 06:36:41.568527 UTC,a2d4dd62-41bf-410d-8528-cf62eb1a7f3b,MOBILE,,,,,,STARTUP,9275.0
